non-terminal    , endLine , main    , paramBeg , paramEnd , funDecl , id      , commaSep , typeInt , typeFloat , typeBool , typeChar , typeString , typeEmpty , typeNull , arrayBeg , arrayEnd , blockBeg , blockEnd , varDecl , opAssign , castSep , arrayValBeg , arrayValEnd , cmdPrint , cmdRead , cmdIf   , cmdElif , cmdElse , cmdWhile , cmdRepeat , cmdIn , cmdReturn , opOr    , opAnd   , opEquals , opRel   , opAditiv , opMult  , opUnaryNeg , constNumInt , constNumFloat , constBool , constChar , constString , opConcat , EOF
PROGRAM         ,         , d1      ,          ,          , d1      ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          , d2      ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          , d1
MAINFUNC        ,         , d3      ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
GLDECL          ,         , epsilon ,          ,          , epsilon ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          , d4      ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          , epsilon
FUNCTIONS       ,         , epsilon ,          ,          , d6      ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
PARAMS          ,         ,         , d8       ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
PARAMSfat       ,         ,         ,          , d9       ,         ,         ,          , d10     , d10       , d10      , d10      , d10        , d10       , d10      ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
LISTPARAMS      ,         ,         ,          ,          ,         ,         ,          , d11     , d11       , d11      , d11      , d11        , d11       , d11      ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
LISTPARAMSr     ,         ,         ,          , epsilon  ,         ,         , d12      ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
TYPE            ,         ,         ,          ,          ,         ,         ,          , d14     , d15       , d16      , d17      , d18        , d19       , d20      ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
RETURNTYPE      ,         ,         ,          ,          ,         ,         ,          , d21     , d21       , d21      , d21      , d21        , d21       , d21      ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
RETURNTYPEfat   ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          , d22      ,          , epsilon  ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
NAME            ,         ,         ,          ,          ,         , d24     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
NAMEfat         , epsilon ,         ,          , epsilon  ,         ,         , epsilon  ,         ,           ,          ,          ,            ,           ,          , d25      ,          ,          ,          ,         , epsilon  ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
NAMEfat2        ,         ,         , d27      ,          ,         , d27     ,          ,         ,           ,          ,          ,            ,           ,          ,          , d28      ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d27        , d27         , d27           , d27       , d27       , d27         ,          ,
BLOCK           ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          , d29      ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
CMDS            ,         ,         ,          ,          ,         , d30     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          , epsilon  , d30     ,          ,         ,             ,             , d30      , d30     , d30     ,         ,         , d30      , d30       ,       , d30       ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
CMD             ,         ,         ,          ,          ,         , d33     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          , d32     ,          ,         ,             ,             , d34      , d35     , d36     ,         ,         , d37      , d38       ,       , d39       ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
CMDfat          ,         ,         , d42      ,          ,         , epsilon ,          ,         ,           ,          ,          ,            ,           ,          , d40      ,          ,          , epsilon  , epsilon , d41      ,         ,             ,             , epsilon  , epsilon , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
DECL            ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          , d44     ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
DECLfat         , epsilon ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         , d45      ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
ASSG            ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         , d47      ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
ASSGfat         ,         ,         , d49      ,          ,         , d49     ,          , d48     , d48       , d48      , d48      , d48        , d48       , d48      ,          ,          ,          ,          ,         ,          ,         , d49         ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d49        , d49         , d49           , d49       , d49       , d49         ,          ,
VALUE           ,         ,         , d51      ,          ,         , d51     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         , d50         ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d51        , d51         , d51           , d51       , d51       , d51         ,          ,
ARRAY           ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         , d52         ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
ELEMENTS        ,         ,         , d53      ,          ,         , d53     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d53        , d53         , d53           , d53       , d53       , d53         ,          ,
ELEMENTSr       ,         ,         ,          ,          ,         ,         , d54      ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             , epsilon     ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
FUNCCALL        ,         ,         , d56      ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
LISTPARAMSCALL  ,         ,         , d57      , d57      ,         , d57     , d57      ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d57        , d57         , d57           , d57       , d57       , d57         ,          ,
LISTPARAMSCALLr ,         ,         ,          , epsilon  ,         ,         , d58      ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
PARAMITEM       ,         ,         , d60      , epsilon  ,         , d60     , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d60        , d60         , d60           , d60       , d60       , d60         ,          ,
PRINT           ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             , d62      ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
READ            ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          , d63     ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
IFELSE          ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         , d64     ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
IF              ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         , d65     ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
ELIF            ,         ,         ,          ,          ,         , epsilon ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          , epsilon  , epsilon ,          ,         ,             ,             , epsilon  , epsilon , epsilon , d66     , epsilon , epsilon  , epsilon   ,       , epsilon   ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
ELSE            ,         ,         ,          ,          ,         , epsilon ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          , epsilon  , epsilon ,          ,         ,             ,             , epsilon  , epsilon , epsilon ,         , d68     , epsilon  , epsilon   ,       , epsilon   ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
WHILE           ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         , d70      ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
REPEAT          ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          , d71       ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
REPEATfat       ,         ,         ,          , epsilon  ,         ,         , d72      ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
RETURN          ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       , d74       ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
EXPR            ,         ,         , d75      ,          ,         , d75     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d75        , d75         , d75           , d75       , d75       , d75         ,          ,
EXPROR          ,         ,         , d76      ,          ,         , d76     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d76        , d76         , d76           , d76       , d76       , d76         ,          ,
EXPRORr         , epsilon ,         ,          , epsilon  ,         , epsilon , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,         ,             , epsilon     , epsilon  , epsilon , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , d77     ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
EXPRAND         ,         ,         , d79      ,          ,         , d79     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d79        , d79         , d79           , d79       , d79       , d79         ,          ,
EXPRANDr        , epsilon ,         ,          , epsilon  ,         , epsilon , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,         ,             , epsilon     , epsilon  , epsilon , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , d80     ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
EXPREQUALS      ,         ,         , d82      ,          ,         , d82     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d82        , d82         , d82           , d82       , d82       , d82         ,          ,
EXPREQUALSr     , epsilon ,         ,          , epsilon  ,         , epsilon , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,         ,             , epsilon     , epsilon  , epsilon , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , d83      ,         ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
EXPRREL         ,         ,         , d85      ,          ,         , d85     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d85        , d85         , d85           , d85       , d85       , d85         ,          ,
EXPRRELr        , epsilon ,         ,          , epsilon  ,         , epsilon , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,         ,             , epsilon     , epsilon  , epsilon , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , epsilon  , d86     ,          ,         ,            ,             ,               ,           ,           ,             ,          ,
EXPRADD         ,         ,         , d88      ,          ,         , d88     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d88        , d88         , d88           , d88       , d88       , d88         ,          ,
EXPRADDr        , epsilon ,         ,          , epsilon  ,         , epsilon , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,         ,             , epsilon     , epsilon  , epsilon , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , epsilon  , epsilon , d89      ,         ,            ,             ,               ,           ,           ,             ,          ,
EXPRAMULT       ,         ,         , d91      ,          ,         , d91     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d91        , d91         , d91           , d91       , d91       , d91         ,          ,
EXPRAMULTr      , epsilon ,         ,          , epsilon  ,         , epsilon , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,         ,             , epsilon     , epsilon  , epsilon , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , epsilon  , epsilon , epsilon  , d92     ,            ,             ,               ,           ,           ,             ,          ,
EXPRUN          ,         ,         , d95      ,          ,         , d95     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d94        , d95         , d95           , d95       , d95       , d95         ,          ,
EXPRPARAM       ,         ,         , d96      ,          ,         , d97     ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            , d97         , d97           , d97       , d97       , d97         ,          ,
EXPRVALUES      ,         ,         ,          ,          ,         , d103    ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            , d98         , d99           , d100      , d101      , d102        ,          ,
EXPRVALUESfat   , epsilon ,         ,          , epsilon  ,         , epsilon , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,         ,             , epsilon     , epsilon  , epsilon , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , epsilon  , epsilon , epsilon  , epsilon ,            ,             ,               ,           ,           ,             , d104     ,
EXPRVALUESfat2  , epsilon ,         , d107     , epsilon  ,         , epsilon , epsilon  ,         ,           ,          ,          ,            ,           ,          , d106     , epsilon  ,          , epsilon  , epsilon ,          ,         ,             , epsilon     , epsilon  , epsilon , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , epsilon  , epsilon , epsilon  , epsilon ,            ,             ,               ,           ,           ,             , d108     ,
ARRCONCAT       , epsilon ,         ,          , epsilon  ,         , epsilon , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,         ,             , epsilon     , epsilon  , epsilon , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , epsilon  , epsilon , epsilon  , epsilon ,            ,             ,               ,           ,           ,             , d110     ,
CONCAT          ,         ,         ,          ,          ,         ,         ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           ,           ,             , d112     ,
CONCATfat       ,         ,         ,          ,          ,         , d115    ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,         ,             ,             ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,             ,               ,           , d114      , d113        ,          ,